Date,Country,City,Specie,count,min,max,median,variance
2024-02-29,BR,São José dos Campos,temperature,96,22.0,32.0,23.0,111.72
2024-03-05,BR,São José dos Campos,temperature,96,21.0,33.0,23.0,151.84
2024-04-03,BR,São José dos Campos,temperature,72,0.0,28.0,0.0,896.87
2024-04-22,BR,São José dos Campos,temperature,96,0.0,30.0,15.0,1441.02
2024-08-12,BR,São José dos Campos,temperature,96,7.0,20.0,12.0,195.77
2024-10-20,BR,São José dos Campos,temperature,70,15.0,22.0,19.0,30.19
2024-01-28,BR,São José dos Campos,temperature,96,17.5,25.0,20.0,38.83
2024-02-15,BR,São José dos Campos,temperature,72,20.0,26.0,21.0,39.08
2024-08-08,BR,São José dos Campos,temperature,96,14.0,30.0,22.0,323.35
2024-09-26,BR,São José dos Campos,temperature,96,19.0,36.0,24.0,370.46
2024-10-09,BR,São José dos Campos,temperature,72,15.0,25.0,19.0,85.72
2024-01-07,BR,São José dos Campos,temperature,96,20.0,34.0,23.0,181.04
2024-05-12,BR,São José dos Campos,temperature,94,0.0,32.0,19.0,1422.17
2024-05-18,BR,São José dos Campos,temperature,91,16.0,31.0,21.0,283.02
2024-08-06,BR,São José dos Campos,temperature,96,14.0,30.0,21.0,303.36
2024-10-04,BR,São José dos Campos,temperature,96,15.0,20.0,16.5,19.6
2024-06-18,BR,São José dos Campos,temperature,96,10.0,27.0,19.0,285.21
2024-09-13,BR,São José dos Campos,temperature,13,24.0,34.0,31.0,150.9
2024-09-22,BR,São José dos Campos,temperature,72,18.0,33.0,23.0,275.03
2024-01-11,BR,São José dos Campos,temperature,96,20.0,31.0,25.0,135.42
2024-02-22,BR,São José dos Campos,temperature,72,20.0,30.5,23.3,130.03
2024-03-17,BR,São José dos Campos,temperature,68,22.0,35.0,30.0,211.71
2024-05-04,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-06-12,BR,São José dos Campos,temperature,78,12.0,27.0,19.0,238.03
2024-06-29,BR,São José dos Campos,temperature,96,13.0,24.0,16.0,109.03
2024-09-18,BR,São José dos Campos,temperature,91,15.0,25.0,17.0,63.35
2024-02-02,BR,São José dos Campos,temperature,96,17.0,115.0,20.0,3625.19
2024-02-18,BR,São José dos Campos,temperature,72,18.0,27.0,21.0,80.88
2024-04-09,BR,São José dos Campos,temperature,96,0.0,30.0,20.5,1523.92
2024-05-30,BR,São José dos Campos,temperature,96,9.0,20.0,13.0,85.18
2024-06-17,BR,São José dos Campos,temperature,96,14.0,27.0,19.0,184.82
2024-06-26,BR,São José dos Campos,temperature,76,16.0,29.0,22.0,174.76
2024-02-06,BR,São José dos Campos,temperature,96,18.0,30.0,23.0,161.22
2024-03-11,BR,São José dos Campos,temperature,96,19.0,28.0,22.0,85.4
2024-05-22,BR,São José dos Campos,temperature,90,17.0,29.0,20.0,124.13
2024-06-28,BR,São José dos Campos,temperature,84,16.0,26.0,20.5,131.23
2024-08-05,BR,São José dos Campos,temperature,96,15.0,29.0,19.0,228.77
2024-11-03,BR,São José dos Campos,temperature,96,19.0,25.0,21.0,29.4
2024-01-12,BR,São José dos Campos,temperature,96,21.0,30.0,24.0,56.42
2024-04-25,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-06-04,BR,São José dos Campos,temperature,96,15.5,22.0,18.0,37.67
2024-01-29,BR,São José dos Campos,temperature,96,17.0,29.0,22.0,188.44
2024-06-06,BR,São José dos Campos,temperature,88,13.0,23.0,16.0,90.89
2024-10-15,BR,São José dos Campos,temperature,96,16.0,30.0,19.0,194.1
2024-10-29,BR,São José dos Campos,temperature,96,19.0,25.0,20.0,42.32
2024-11-06,BR,São José dos Campos,temperature,96,21.0,29.0,22.0,59.21
2024-02-03,BR,São José dos Campos,temperature,96,19.0,27.0,22.0,63.84
2024-05-09,BR,São José dos Campos,temperature,96,0.0,31.0,0.0,1578.74
2024-07-27,BR,São José dos Campos,temperature,96,12.0,27.0,18.0,290.51
2024-08-20,BR,São José dos Campos,temperature,36,13.0,16.0,15.0,9.14
2024-11-13,BR,São José dos Campos,temperature,70,16.0,21.0,18.5,15.22
2024-02-14,BR,São José dos Campos,temperature,72,20.0,27.0,22.0,37.11
2024-06-23,BR,São José dos Campos,temperature,96,12.2,29.0,20.0,279.33
2024-10-01,BR,São José dos Campos,temperature,96,18.0,34.0,23.0,347.49
2024-03-20,BR,São José dos Campos,temperature,67,22.0,31.0,23.0,107.59
2024-06-10,BR,São José dos Campos,temperature,96,12.0,28.0,19.0,236.84
2024-07-07,BR,São José dos Campos,temperature,96,12.0,27.0,18.5,214.63
2024-09-29,BR,São José dos Campos,temperature,96,17.0,31.0,19.0,204.31
2024-01-15,BR,São José dos Campos,temperature,96,22.0,32.0,26.0,120.14
2024-03-01,BR,São José dos Campos,temperature,96,21.0,30.0,23.0,76.31
2024-05-26,BR,São José dos Campos,temperature,71,14.0,18.0,16.0,18.61
2024-05-28,BR,São José dos Campos,temperature,88,16.5,26.0,19.5,90.33
