temperatura;pressao;altitude;umidade;co2;tempo_registro;regiao;;
31,59;92501,44;816,98;46;0,4;05/12/2024 14:49;Centro;;
31,59;92501,91;816,94;46;0;05/12/2024 14:49;Centro;;
31,59;92500,48;817,07;46;0,91;05/12/2024 14:49;Centro;;
31,59;92501,74;816,96;46;0,01;05/12/2024 14:49;Centro;;
31,6;92501,65;816,97;46;0;05/12/2024 14:49;Centro;;
31,59;92502,37;816,9;46;0;05/12/2024 14:49;Centro;;
31,6;92502,88;816,86;46;0,06;05/12/2024 14:49;Centro;;
31,6;92504,63;816,7;46;0;05/12/2024 14:48;Centro;;
31,59;92502,41;816,9;46;0,22;05/12/2024 14:48;Centro;;
31,59;92500,42;817,08;46;0;05/12/2024 14:48;Centro;;
31,6;92504,86;816,68;46;0;05/12/2024 14:48;Centro;;
31,6;92502,31;816,91;46;0;05/12/2024 14:48;Centro;;
31,6;92504,8;816,7;46;0;05/12/2024 14:48;Centro;;
31,59;92502,04;816,93;46;0;05/12/2024 14:48;Centro;;
31,59;92503,06;816,84;46;1,28;05/12/2024 14:48;Centro;;
31,6;92501,05;817,02;46;1,37;05/12/2024 14:48;Centro;;
31,6;92505,06;816,66;46;0;05/12/2024 14:48;Centro;;
31,6;92504,73;816,69;46;0;05/12/2024 14:48;Centro;;
31,6;92499,67;817,14;46;0;05/12/2024 14:48;Centro;;
31,6;92503,08;816,84;46;0;05/12/2024 14:47;Centro;;
31,6;92504,63;816,7;46;0,48;05/12/2024 14:47;Centro;;
31,61;92504,54;816,71;46;0;05/12/2024 14:47;Centro;;
31,6;92504,97;816,67;46;0;05/12/2024 14:47;Centro;;
31,6;92501,98;816,94;46;0;05/12/2024 14:47;Centro;;
31,6;92502,91;816,85;46;0;05/12/2024 14:47;Centro;;
31,6;92503,31;816,82;46;0,09;05/12/2024 14:47;Centro;;
31,6;92504,07;816,75;46;1,08;05/12/2024 14:47;Centro;;
31,6;92503,48;816,8;46;0;05/12/2024 14:47;Centro;;
31,61;92504,73;816,69;46;0;05/12/2024 14:47;Centro;;
31,6;92503,87;816,77;46;0;05/12/2024 14:47;Centro;;
31,6;92504,7;816,69;46;0;05/12/2024 14:47;Centro;;
31,6;92501,88;816,95;46;0;05/12/2024 14:46;Centro;;
31,6;92503,41;816,81;46;1,22;05/12/2024 14:46;Centro;;
31,6;92503,64;816,79;46;0;05/12/2024 14:46;Centro;;
31,6;92501,22;817;46;1,18;05/12/2024 14:46;Centro;;
31,61;92505,3;816,64;46;0;05/12/2024 14:46;Centro;;
31,61;92504,64;816,7;46;0,08;05/12/2024 14:46;Centro;;
31,61;92507,36;816,54;46;0;05/12/2024 14:46;Centro;;
31,61;92505,38;816,63;46;5,07;05/12/2024 14:46;Centro;;
31,61;92508,52;816,35;46;0,09;05/12/2024 14:46;Centro;;
31,61;92505,41;816,63;46;1,05;05/12/2024 14:46;Centro;;
31,6;92507,77;816,42;46;0;05/12/2024 14:46;Centro;;
31,61;92505,53;816,62;46;0,05;05/12/2024 14:46;Centro;;
31,62;92506,57;816,53;46;0;05/12/2024 14:45;Centro;;
31,61;92504,87;816,68;46;0,2;05/12/2024 14:45;Centro;;
31,61;92505,36;816,63;46;0,07;05/12/2024 14:45;Centro;;
31,6;92503,31;816,82;46;0;05/12/2024 14:45;Centro;;
31,61;92506,56;816,53;46;0;05/12/2024 14:45;Centro;;
31,61;92503,05;816,84;46;0;05/12/2024 14:45;Centro;;
31,61;92502,89;816,85;46;0;05/12/2024 14:45;Centro;;
31,61;92502,83;816,86;46;0,16;05/12/2024 14:45;Centro;;
31,62;92504,75;816,69;46;0;05/12/2024 14:45;Centro;;
31,61;92503,39;816,81;46;0;05/12/2024 14:45;Centro;;
31,61;92505,7;816,6;46;0,04;05/12/2024 14:45;Centro;;
31,61;92505,14;816,65;46;0;05/12/2024 14:45;Centro;;
31,61;92505,41;816,63;46;0;05/12/2024 14:44;Centro;;
31,61;92503,98;816,76;46;0,23;05/12/2024 14:44;Centro;;
31,61;92505,23;816,64;46;0,06;05/12/2024 14:44;Centro;;
31,61;92504,08;816,75;46;0;05/12/2024 14:44;Centro;;
31,61;92502,49;816,89;46;0,02;05/12/2024 14:44;Centro;;
31,61;92504,87;816,68;46;0;05/12/2024 14:44;Centro;;
31,6;92502,42;816,9;46;0;05/12/2024 14:44;Centro;;
31,61;92503,42;816,81;46;0,22;05/12/2024 14:44;Centro;;
31,6;92502,91;816,85;46;0;05/12/2024 14:44;Centro;;
31,6;92501,88;816,95;46;0;05/12/2024 14:44;Centro;;
31,61;92504,38;816,72;46;0;05/12/2024 14:44;Centro;;
31,61;92504,54;816,71;46;0;05/12/2024 14:44;Centro;;
31,61;92505,14;816,65;46;0;05/12/2024 14:43;Centro;;
31,61;92503,25;816,82;46;0,21;05/12/2024 14:43;Centro;;
31,61;92505,8;816,59;46;0;05/12/2024 14:43;Centro;;
31,61;92505,3;816,64;46;0;05/12/2024 14:43;Centro;;
31,61;92506,39;816,54;46;0;05/12/2024 14:43;Centro;;
31,61;92505,7;816,6;46;0;05/12/2024 14:43;Centro;;
31,61;92505,47;816,62;46;0;05/12/2024 14:43;Centro;;
31,61;92506,8;816,5;46;0,16;05/12/2024 14:43;Centro;;
31,61;92504,91;816,67;46;0;05/12/2024 14:43;Centro;;
31,61;92507,45;816,45;46;0;05/12/2024 14:43;Centro;;
31,61;92505,63;816,61;46;0,07;05/12/2024 14:43;Centro;;
31,61;92511,59;816,45;46;0;05/12/2024 14:43;Centro;;
31,61;92508,12;816,39;46;0;05/12/2024 14:42;Centro;;
31,61;92505,8;816,59;46;0,28;05/12/2024 14:42;Centro;;
31,62;92505,25;816,64;46;0,04;05/12/2024 14:42;Centro;;
31,61;92506,63;816,52;46;0;05/12/2024 14:42;Centro;;
31,62;92506,23;816,56;46;0;05/12/2024 14:42;Centro;;
31,62;92508,66;816,34;46;0;05/12/2024 14:42;Centro;;
31,63;92506,64;816,52;46;0;05/12/2024 14:42;Centro;;
31,62;92503,5;816,8;46;0,16;05/12/2024 14:42;Centro;;
31,62;92502,94;816,85;46;0;05/12/2024 14:42;Centro;;
31,62;92503,94;816,76;46;0;05/12/2024 14:42;Centro;;
31,62;92505,02;816,66;46;0,08;05/12/2024 14:42;Centro;;
31,62;92506,18;816,59;46;1,22;05/12/2024 14:42;Centro;;
31,62;92507,3;816,46;46;0;05/12/2024 14:41;Centro;;
31,62;92503,59;816,79;45;0,17;05/12/2024 14:41;Centro;;
31,62;92503,7;816,78;46;0;05/12/2024 14:41;Centro;;
31,62;92505,52;816,62;46;0;05/12/2024 14:41;Centro;;
31,62;92504,69;816,69;46;0,05;05/12/2024 14:41;Centro;;
31,62;92504,48;816,71;46;0;05/12/2024 14:41;Centro;;
31,61;92507,03;816,48;45;0;05/12/2024 14:41;Centro;;
31,61;92507,36;816,45;45;0,27;05/12/2024 14:41;Centro;;
31,61;92507,2;816,47;45;0;05/12/2024 14:41;Centro;;
31,62;92506,58;816,53;46;0,08;05/12/2024 14:41;Centro;;
31,62;92507,41;816,45;45;0;05/12/2024 14:41;Centro;;
31,63;92507,02;816,49;46;0;05/12/2024 14:41;Centro;;
31,63;92503,88;816,77;46;1,18;05/12/2024 14:40;Centro;;
31,62;92509,06;816,3;45;0,21;05/12/2024 14:40;Centro;;
31,62;92508,83;816,32;45;0,18;05/12/2024 14:40;Centro;;
31,62;92509,95;816,22;46;0;05/12/2024 14:40;Centro;;
31,62;92508,73;816,33;45;0;05/12/2024 14:40;Centro;;
31,62;92509,89;816,23;46;0;05/12/2024 14:40;Centro;;
31,62;92508,13;816,39;46;0;05/12/2024 14:40;Centro;;
31,62;92507,8;816,42;46;0,22;05/12/2024 14:40;Centro;;
31,62;92508,55;816,35;46;1,21;05/12/2024 14:40;Centro;;
31,62;92506,84;816,5;46;0;05/12/2024 14:40;Centro;;
31,62;92508,39;816,36;46;0;05/12/2024 14:40;Centro;;
31,62;92509,48;816,26;46;0,06;05/12/2024 14:40;Centro;;
31,62;92508,95;816,31;46;0;05/12/2024 14:39;Centro;;
31,62;92508,73;816,33;46;0,22;05/12/2024 14:39;Centro;;
31,62;92508,95;816,31;46;0;05/12/2024 14:39;Centro;;
31,62;92508,49;816,35;46;0;05/12/2024 14:39;Centro;;
31,62;92510,31;816,19;46;0;05/12/2024 14:39;Centro;;
31,62;92510,81;816,15;46;0;05/12/2024 14:39;Centro;;
31,62;92511,86;816,05;46;0,11;05/12/2024 14:39;Centro;;
31,62;92510,7;816,16;46;0,19;05/12/2024 14:39;Centro;;
31,62;92512,42;816;46;0;05/12/2024 14:39;Centro;;
31,61;92512,25;816,02;46;0;05/12/2024 14:39;Centro;;
31,62;92511,86;816,05;46;0;05/12/2024 14:39;Centro;;
31,61;92510,27;816,19;45;0;05/12/2024 14:39;Centro;;
31,61;92512,75;815,97;46;0;05/12/2024 14:38;Centro;;
31,61;92513,08;815,94;46;5,64;05/12/2024 14:38;Centro;;
31,61;92511,16;816,12;46;0;05/12/2024 14:38;Centro;;
31,61;92511,48;815,82;45;0;05/12/2024 14:38;Centro;;
31,61;92511,52;816,08;46;0;05/12/2024 14:38;Centro;;
31,61;92511,33;816,1;46;0;05/12/2024 14:38;Centro;;
31,61;92512,09;816,03;46;0,07;05/12/2024 14:38;Centro;;
31,62;92510,38;816,18;46;0;05/12/2024 14:38;Centro;;
31,61;92511,98;816,04;46;0;05/12/2024 14:38;Centro;;
31,61;92508,12;816,39;46;0;05/12/2024 14:38;Centro;;
31,61;92509,05;816,3;46;0;05/12/2024 14:38;Centro;;
31,61;92508,95;816,31;45;0;05/12/2024 14:38;Centro;;
31,61;92511,16;816,12;46;0,1;05/12/2024 14:37;Centro;;
31,61;92511,92;816,05;45;1,22;05/12/2024 14:37;Centro;;
31,61;92512,16;816,03;45;0;05/12/2024 14:37;Centro;;
31,62;92512,92;815,96;46;0;05/12/2024 14:37;Centro;;
31,62;92512,19;816,02;46;0;05/12/2024 14:37;Centro;;
31,62;92510,88;816,14;46;0;05/12/2024 14:37;Centro;;
31,62;92513,45;815,91;46;0;05/12/2024 14:37;Centro;;
31,62;92512,8;815,97;46;2,53;05/12/2024 14:37;Centro;;
31,62;92511,7;816,07;45;0;05/12/2024 14:37;Centro;;
31,62;92513,09;815,94;45;1,27;05/12/2024 14:37;Centro;;
31,62;92514,25;815,84;45;0;05/12/2024 14:37;Centro;;
31,62;92514,17;815,85;45;0;05/12/2024 14:36;Centro;;
31,62;92514,17;815,85;45;0;05/12/2024 14:36;Centro;;
31,61;92512,68;815,98;45;0,26;05/12/2024 14:36;Centro;;
31,6;92510,92;816,14;45;0;05/12/2024 14:36;Centro;;
31,61;92512,52;815,99;45;0;05/12/2024 14:36;Centro;;
31,61;92516,05;815,68;45;0;05/12/2024 14:36;Centro;;
31,61;92515,48;815,73;45;0;05/12/2024 14:36;Centro;;
31,61;92517,6;815,54;45;0;05/12/2024 14:36;Centro;;
31,6;92517,86;815,52;45;0,2;05/12/2024 14:36;Centro;;
31,61;92519,59;815,36;45;0,4;05/12/2024 14:36;Centro;;
31,6;92516,14;815,67;45;0;05/12/2024 14:36;Centro;;
31,6;92514,05;815,86;45;1,43;05/12/2024 14:36;Centro;;
31,6;92515,61;815,72;45;0;05/12/2024 14:35;Centro;;
31,61;92518,63;815,45;45;0;05/12/2024 14:35;Centro;;
31,61;92515,48;815,73;45;0,57;05/12/2024 14:35;Centro;;
31,61;92515,66;815,71;45;NULL;05/12/2024 14:35;Centro;;
31,61;92514,97;815,77;45;0,01;05/12/2024 14:35;Centro;;
31,61;92516,22;815,66;45;0;05/12/2024 14:35;Centro;;
31,61;92517,12;815,58;45;0;05/12/2024 14:35;Centro;;
31,61;92515,79;815,7;45;0;05/12/2024 14:35;Centro;;
31,62;92517,22;815,57;45;0,19;05/12/2024 14:35;Centro;;
31,61;92515,39;815,74;45;0;05/12/2024 14:35;Centro;;
31,61;92514;815,86;45;0;05/12/2024 14:35;Centro;;
31,61;92515,89;815,69;45;0;05/12/2024 14:35;Centro;;
31,61;92513,97;815,86;45;0;05/12/2024 14:34;Centro;;
31,62;92515,34;815,74;45;0;05/12/2024 14:34;Centro;;
31,61;92515,16;815,76;45;0,54;05/12/2024 14:34;Centro;;
31,61;92515,06;815,77;45;0;05/12/2024 14:34;Centro;;
31,62;92515,83;815,7;45;0;05/12/2024 14:34;Centro;;
31,61;92516,45;815,64;45;0;05/12/2024 14:34;Centro;;
31,62;92516,23;815,66;45;0;05/12/2024 14:34;Centro;;
31,62;92518,25;815,48;45;0,06;05/12/2024 14:34;Centro;;
31,62;92516,98;815,59;45;0,23;05/12/2024 14:34;Centro;;
31,62;92517,22;815,57;45;0;05/12/2024 14:34;Centro;;
31,61;92517,78;815,52;45;0;05/12/2024 14:34;Centro;;
31,62;92516,49;815,64;45;0,52;05/12/2024 14:34;Centro;;
31,62;92515,9;815,69;45;0;05/12/2024 14:33;Centro;;
31,62;92517,16;815,58;45;0;05/12/2024 14:33;Centro;;
31,62;92516,83;815,61;45;0,54;05/12/2024 14:33;Centro;;
31,62;92515,66;815,71;45;0;05/12/2024 14:33;Centro;;
31,62;92519,97;815,33;45;0;05/12/2024 14:33;Centro;;
